NBI Number,INDOT District,Lattitude,Longitude,Place (Decoded)
10,Seymour,39.073,-84.5112,Greendale city
20,Seymour,39.0918,-84.5242,United States
21,Vincennes,38.115503,-87.550469,United States
22,Vincennes,38.115172,-87.550306,Griffin town
23,Vincennes,38.114834,-87.550275,United States
30,Seymour,39.1142,-84.543,United States
40,Seymour,39.1218,-84.5542,United States
50,Seymour,39.1648,-84.5742,St. Leon town
70,Seymour,39.2136,-84.5718,United States
80,Seymour,39.2636,-85.013,United States
90,Seymour,39.2654,-85.0154,United States
100,Seymour,39.3054,-85.0442,United States
110,Seymour,39.31,-85.0448,United States
120,Greenfield,39.3454,-85.0606,United States
130,Greenfield,39.37,-85.0748,United States
140,Greenfield,39.3824,-85.0754,Connersville city
160,Greenfield,39.4118,-85.0818,Connersville city
165,Greenfield,39.4236,-85.0818,United States
180,Greenfield,39.44,-85.0818,United States
190,Greenfield,39.4806,-85.0918,United States
210,Greenfield,39.5112,-85.0842,United States
225,Greenfield,39.5854,-85.0836,United States
230,Greenfield,39.593,-85.0842,United States
250,Greenfield,40.0642,-85.0742,United States
260,Greenfield,40.0824,-85.0742,United States
270,Greenfield,40.1018,-85.0742,United States
280,Greenfield,40.132322,-85.08498,United States
290,Greenfield,40.1512,-85.0854,United States
300,Greenfield,40.1654,-85.0854,United States
305,Greenfield,40.1712,-85.09,United States
310,Greenfield,40.2018,-85.09,United States
320,Greenfield,40.2048,-85.09,Redkey town
330,Greenfield,40.2424,-85.09,United States
335,Greenfield,40.2542,-85.0906,United States
340,Greenfield,40.2806,-85.0906,United States
350,Greenfield,40.2912,-85.0906,United States
360,Greenfield,40.3054,-85.09,United States
370,Fort Wayne,40.3724,-85.0906,United States
375,Fort Wayne,40.425422,-85.100625,United States
380,Fort Wayne,40.4436,-85.1018,Bellevue city
390,Fort Wayne,40.5224,-85.1,Ossian town
400,Fort Wayne,40.5618,-85.1006,United States
425,Fort Wayne,40.5718,-85.1006,United States
435,Fort Wayne,41.1048,-85.0612,United States
437,Fort Wayne,41.104508,-85.052734,United States
440,Fort Wayne,41.113,-85.0348,United States
